Filename,Label,LabelTimeStamp,Spec_NStep,Spec_NWin,Spec_x1,Spec_y1,Spec_x2,Spec_y2,LabelStartTime_Seconds,LabelEndTime_Seconds,LabelArea_DataPoints,DetectorConfidence
/A-LIFE_20170928_214949_000.wav,bat,2020-03-31T18:38:33.184011,0.001,0.003,1008.118,0,1009.118,576.0,1.008,1.009,,0.16
/A-LIFE_20170928_214949_000.wav,bat,2020-03-31T18:38:33.184011,0.001,0.003,1140.412,0,1141.412,576.0,1.14,1.141,,0.273
/A-LIFE_20170928_214949_000.wav,bat,2020-03-31T18:38:33.184011,0.001,0.003,1159.235,0,1160.235,576.0,1.159,1.16,,0.139
/A-LIFE_20170928_214949_000.wav,bat,2020-03-31T18:38:33.184011,0.001,0.003,1182.765,0,1183.765,576.0,1.183,1.184,,0.163
/A-LIFE_20170928_214949_000.wav,bat,2020-03-31T18:38:33.184011,0.001,0.003,1220.412,0,1221.412,576.0,1.22,1.221,,0.549
/A-LIFE_20170928_214949_000.wav,bat,2020-03-31T18:38:33.184011,0.001,0.003,1239.235,0,1240.235,576.0,1.239,1.24,,0.533
/A-LIFE_20170928_214949_000.wav,bat,2020-03-31T18:38:33.184011,0.001,0.003,1281.588,0,1282.588,576.0,1.282,1.283,,0.564
/A-LIFE_20170928_214949_000.wav,bat,2020-03-31T18:38:33.184011,0.001,0.003,1314.529,0,1315.529,576.0,1.315,1.316,,0.417
/A-LIFE_20170928_214949_000.wav,bat,2020-03-31T18:38:33.184011,0.001,0.003,1352.176,0,1353.176,576.0,1.352,1.353,,0.423
/A-LIFE_20170928_214949_000.wav,bat,2020-03-31T18:38:33.184011,0.001,0.003,1375.706,0,1376.706,576.0,1.376,1.377,,0.372
/A-LIFE_20170928_214949_000.wav,bat,2020-03-31T18:38:33.184011,0.001,0.003,1418.059,0,1419.059,576.0,1.418,1.419,,0.115
/A-LIFE_20170928_214949_000.wav,bat,2020-03-31T18:38:33.184011,0.001,0.003,1644.471,0,1645.471,576.0,1.644,1.645,,0.176
/A-LIFE_20170928_214949_000.wav,bat,2020-03-31T18:38:33.184011,0.001,0.003,1724.471,0,1725.471,576.0,1.724,1.725,,0.114
/A-LIFE_20170928_214949_000.wav,bat,2020-03-31T18:38:33.184011,0.001,0.003,1748.0,0,1749.0,576.0,1.748,1.749,,0.144
/A-LIFE_20170928_214949_000.wav,bat,2020-03-31T18:38:33.184011,0.001,0.003,2026.176,0,2027.176,576.0,2.026,2.027,,0.101
/A-LIFE_20170928_214949_000.wav,bat,2020-03-31T18:38:33.184011,0.001,0.003,2063.824,0,2064.824,576.0,2.064,2.065,,0.166
/A-LIFE_20170928_214949_000.wav,bat,2020-03-31T18:38:33.184011,0.001,0.003,2092.059,0,2093.059,576.0,2.092,2.093,,0.25
/A-LIFE_20170928_214949_000.wav,bat,2020-03-31T18:38:33.184011,0.001,0.003,2195.588,0,2196.588,576.0,2.196,2.197,,0.126
/A-LIFE_20170928_214949_000.wav,bat,2020-03-31T18:38:33.184011,0.001,0.003,2309.059,0,2310.059,576.0,2.309,2.31,,0.103
